,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,P_alg,P_cor,P_dim,P_win,S_CR,S_MPQA,S_MR,S_MRPC,S_SICKEntailment,S_SICKRelatedness,S_SST2,S_SST5,S_STS12,S_STS13,S_STS14,S_STS15,S_STS16,S_STSBenchmark,S_SUBJ,S_TREC,V_chunk,V_ner,V_nli,V_pos,V_questions,V_sentiment
0,0.00477356083770689,0.281481481481481,0.0923076923076923,0.103479853479853,0.042758192055122,0.28984844199161,0.0318961178880517,0.0341954737627456,0.0345830274970357,0.0910112359550562,0.245799327892463,0.223249669749009,0.0201376684241359,0.203216374269006,0.569250317662008,0.266666666666667,0.3125,0.205882352941177,0.361359570661896,0.598385103029066,0.504830917874396,0.364875094625284,0.641225961538462,0.553726781095697,0.752931323283082,0.371460928652322,0.558701082431307,0.409266409266409,0.304990757855823,0.598435462842243,0.487179487179487,0.661971830985915,0.627027027027027,0.363636363636364,0.37059779664078,0.520246193715581,0.522979543161178,0.608318890814558,0.585640521268749,0.580381471389646,cbow,nyt,100,1,0.484962406015037,0.544319600499375,0.583268178264269,0.884514435695537,0.489288774635819,0.71366777060665,0.660774983004758,0.47294776119403,0.484139622985562,0.428924808420551,0.444662038271491,0.445920602306298,0.291113514560699,0.473938473596588,0.433476394849786,0.28125,0.737528779739064,0.7504553734062,0.816091954022989,0.784150326797385,0.886986301369863,0.673539518900344
1,0,0.208465608465608,0.161990950226244,0.0265567765567766,0.0603270974042067,0.133214178168081,0.0180744668032293,0.060619248943049,0.0811642482073288,0.143820224719101,0.496879500720115,0.542932628797886,0.0201376684241359,0.219298245614035,0.443456162642948,0.533333333333333,0.28125,0.352941176470588,0.146690518783542,0.699089352340126,0.375201288244767,0.349735049205148,0.411658653846154,0.257841523630378,0.85678391959799,0.514156285390714,0.586178184845962,0.637065637065637,0.532347504621072,0.492829204693612,0.211538461538462,0.619718309859155,0.705405405405405,0.477272727272727,0.388658118114502,0.617427923550373,0.47711219154206,0.512998266897747,0.511876075731498,0.440054495912807,cbow,nyt,100,11,0.444548872180451,0.657927590511859,0.546520719311962,0.745406824146982,0.5706940874036,0.717975453065161,0.571040108769545,0.422574626865671,0.567277517367171,0.621237872893301,0.74322599656952,0.735928906852232,0.57517501570264,0.660015969956483,0.566523605150214,0.4140625,0.438986953184959,0.45719489981785,0.431034482758621,0.628594771241827,0.270547945205479,0.515463917525773
2,0.00318237389180459,0.201058201058201,0.17737556561086,0.0265567765567766,0.0661833991872349,0.130708029946905,0.0233904864512379,0.0683909475254912,0.0797526960645926,0.148314606741573,0.513682189150264,0.589167767503303,0.0164762741652021,0.178362573099415,0.458703939008895,0.666666666666667,0.21875,0.264705882352941,0.15742397137746,0.720863244083059,0.352657004830918,0.34670704012112,0.415264423076923,0.229720197507642,0.842546063651591,0.491506228765572,0.576186511240633,0.626447876447876,0.526802218114603,0.460234680573664,0.288461538461538,0.584507042253521,0.743243243243243,0.492424242424242,0.478959725483114,0.593132491091675,0.47711219154206,0.545927209705373,0.45778214900418,0.420980926430518,cbow,nyt,100,13,0.452067669172933,0.665418227215979,0.534792806880376,0.755905511811024,0.592973436161097,0.734383937652851,0.537049626104691,0.379664179104477,0.575912651195753,0.627478844257243,0.750636833586371,0.744311671238116,0.577667103397639,0.534947310882185,0.59799713876967,0.375,0.387567152724482,0.448694596235581,0.839080459770115,0.625490196078432,0.291095890410959,0.59106529209622
3,0.0015911869459023,0.219047619047619,0.187330316742081,0.0210622710622711,0.0613031477013781,0.115671140619846,0.0212640785920345,0.071499626958468,0.0839873524928011,0.141573033707865,0.543927028324532,0.608982826948481,0.0274604569420035,0.156432748538012,0.444726810673444,0.555555555555556,0.21875,0.235294117647059,0.150268336314848,0.74263713582599,0.357487922705314,0.345950037850114,0.406850961538462,0.236444862450035,0.848408710217756,0.497168742921857,0.569525395503747,0.613899613899614,0.522181146025878,0.464146023468057,0.262820512820513,0.612676056338028,0.724324324324324,0.462121212121212,0.37059779664078,0.593132491091675,0.511512705256398,0.512998266897747,0.474993852962872,0.435967302452316,cbow,nyt,100,15,0.459586466165414,0.666666666666667,0.5426114151681,0.825459317585302,0.63496143958869,0.743333073027482,0.533650577838206,0.498134328358209,0.581701215622461,0.632175350158518,0.758774789155064,0.749681211816783,0.57889472712454,0.690282303330289,0.573676680972817,0.3828125,0.369148119723715,0.421979356405583,0.545977011494252,0.613071895424836,0.270547945205479,0.45360824742268
4,0,0.213756613756614,0.184615384615385,0.0173992673992674,0.0593510471070353,0.114418066509258,0.0212640785920345,0.0668366078090027,0.0839873524928011,0.142696629213483,0.548247719635142,0.579920739762219,0.0164762741652021,0.179824561403509,0.426937738246506,0.511111111111111,0.3125,0.411764705882353,0.132379248658318,0.735832794656324,0.35426731078905,0.3444360333081,0.425480769230769,0.234610862920292,0.852596314907873,0.489241223103058,0.56203164029975,0.626447876447876,0.527726432532347,0.447196870925684,0.237179487179487,0.612676056338028,0.691891891891892,0.477272727272727,0.45186924327253,0.633624878522838,0.504632602513531,0.507798960138648,0.420899926235555,0.419618528610354,cbow,nyt,100,17,0.417293233082707,0.666666666666667,0.556684910086005,0.889763779527559,0.605826906598115,0.730393824046076,0.571040108769545,0.417910447761194,0.585955088737693,0.638938960050138,0.76251471943972,0.755499817336445,0.589861138764855,0.682072624842369,0.623748211731045,0.359375,0.354566385264771,0.415907710989678,0.500000000000001,0.599509803921569,0.243150684931507,0.398625429553265
5,0.00477356083770689,0.216931216931217,0.206334841628959,0.0183150183150183,0.0652073488900635,0.101887325403376,0.011695243225619,0.0668366078090027,0.0861046807069053,0.151685393258427,0.549207873259722,0.582562747688243,0.0146455770357352,0.159356725146199,0.407878017789073,0.577777777777778,0.25,0.5,0.0894454382826476,0.716780639381259,0.355072463768116,0.358062074186222,0.368389423076923,0.25356219139431,0.848408710217756,0.471121177802945,0.564529558701082,0.627413127413127,0.537892791127542,0.447196870925684,0.192307692307692,0.619718309859155,0.7,0.5,0.478959725483114,0.657920310981536,0.483992294284928,0.51473136915078,0.420899926235555,0.4141689373297,cbow,nyt,100,19,0.450187969924813,0.669163545568039,0.572322126661454,0.704724409448819,0.641816623821766,0.710720350440785,0.57443915703603,0.430970149253732,0.598254782889585,0.644310972975808,0.766229901685709,0.764321514251565,0.598559784715231,0.590277835288775,0.567954220314736,0.3359375,0.336147352264006,0.394049787492412,0.718390804597701,0.569771241830062,0.26027397260274,0.285223367697595
6,0,0.28994708994709,0.123076923076923,0.0357142857142857,0.0417821417579506,0.220929365909257,0.0329593218176534,0.0481845312111415,0.0479927728530292,0.104494382022472,0.323571771483437,0.3778071334214,0.0219683655536028,0.255847953216374,0.564167725540025,0.244444444444444,0.15625,0.205882352941177,0.189624329159213,0.726306717018792,0.4170692431562,0.342165026495079,0.453725961538462,0.311638843169527,0.875209380234506,0.566251415628539,0.616153205661948,0.57046332046332,0.478743068391867,0.558670143415906,0.205128205128205,0.457746478873239,0.648648648648649,0.424242424242424,0.433808921798808,0.576935536119209,0.463351986056325,0.528596187175043,0.570887632161299,0.5,cbow,nyt,100,3,0.472744360902256,0.580524344569289,0.545738858483191,0.843832020997376,0.543273350471294,0.713901796864539,0.58599592114208,0.396455223880597,0.508378907815857,0.527035099482487,0.635898496278001,0.624137155733464,0.479474375718536,0.512581523773033,0.530758226037195,0.40625,0.608595548733691,0.605950212507588,0.586206896551723,0.731862745098038,0.60958904109589,0.70446735395189
7,0.0015911869459023,0.234920634920635,0.12579185520362,0.0347985347985348,0.0369018902720938,0.195867883697493,0.0318961178880517,0.0512932106441184,0.0599909660662865,0.132584269662921,0.392702832453192,0.478203434610304,0.0128148799062683,0.273391812865497,0.524777636594663,0.333333333333333,0.125,0.147058823529412,0.116279069767442,0.716780639381259,0.402576489533011,0.349735049205148,0.442908653846154,0.270068187162003,0.850921273031826,0.548131370328426,0.60699417152373,0.586872586872587,0.50554528650647,0.549543676662321,0.217948717948718,0.542253521126761,0.697297297297298,0.439393939393939,0.515080368430558,0.576935536119209,0.502339234932575,0.497400346620451,0.52908777969019,0.464577656675749,cbow,nyt,100,5,0.424812030075188,0.636704119850188,0.555903049257233,0.933070866141732,0.481576692373608,0.674147839980481,0.526172671651938,0.371268656716418,0.519799484693756,0.57799244786105,0.69522981292586,0.682250254148555,0.539152843016033,0.450759122699591,0.565092989985695,0.3984375,0.502686108979276,0.534911961141471,0.672413793103447,0.703594771241827,0.332191780821918,0.694158075601375
8,0,0.227513227513228,0.139366515837104,0.0283882783882784,0.0476384435409789,0.177071772038669,0.0180744668032293,0.0559562297935837,0.0712833832081757,0.138202247191011,0.42246759481517,0.531043593130779,0.018306971294669,0.260233918128655,0.449809402795426,0.577777777777778,0.1875,0.264705882352941,0.134168157423971,0.680037197065061,0.384057971014493,0.338380015140045,0.453725961538462,0.263954855396191,0.849246231155779,0.513023782559456,0.601165695253955,0.598455598455598,0.524029574861368,0.536505867014342,0.166666666666667,0.619718309859155,0.710810810810811,0.553030303030303,0.433808921798808,0.560738581146744,0.48857902944684,0.495667244367418,0.509417260880256,0.460490463215259,cbow,nyt,100,7,0.454887218045113,0.665418227215979,0.551211884284597,0.867454068241469,0.609254498714653,0.719542062026276,0.571040108769545,0.392723880597015,0.537195399144847,0.602607777445639,0.716691708744795,0.707453542969493,0.553646943644753,0.491190361528967,0.566523605150214,0.4296875,0.48810437452034,0.513054037644198,0.672413793103447,0.676143790849673,0.356164383561644,0.47766323024055
9,0.0015911869459023,0.221164021164021,0.180090497737557,0.0256410256410256,0.0456863429466361,0.155769512158669,0.0255168943104414,0.0637279283760259,0.07340071142228,0.129213483146067,0.460873739798368,0.538969616908851,0.0219683655536028,0.219298245614035,0.444726810673444,0.488888888888889,0.1875,0.235294117647059,0.110912343470483,0.697728484106193,0.385668276972625,0.352763058289175,0.441105769230769,0.265788854925935,0.85427135678392,0.524348810872027,0.587843463780183,0.617760617760618,0.520332717190388,0.503911342894394,0.198717948717949,0.556338028169014,0.694594594594595,0.5,0.415748600325086,0.585034013605442,0.493165764608751,0.525129982668977,0.534005409392673,0.457765667574932,cbow,nyt,100,9,0.444548872180451,0.650436953807741,0.548084440969507,0.801837270341207,0.622964867180806,0.743374753920747,0.578518014955812,0.362873134328358,0.555537241513724,0.614477290923632,0.734151764982013,0.724018287485504,0.56605615312785,0.596268585712936,0.562231759656652,0.390625,0.440521872601686,0.497874924104432,0.413793103448277,0.668954248366012,0.253424657534247,0.491408934707904
